#{"t_start": 1674743108.5023897, "env_id": null}
r,l,t
-21.0,765,18.294287
-21.0,765,18.294573
-21.0,793,18.859522
-21.0,825,19.498995
-21.0,825,19.499213
-21.0,827,19.553365
-21.0,830,19.612262
-20.0,871,20.433583
-21.0,881,20.634854
-20.0,898,20.973197
-21.0,974,22.467651
-20.0,1036,23.703043
-19.0,1075,24.46597
-20.0,1083,24.631943
-20.0,1104,25.04645
-18.0,1168,26.32089
-21.0,825,34.664945
-21.0,793,35.226121
-20.0,838,36.119247
-21.0,853,37.330356
-21.0,951,37.742419
-20.0,931,38.049571
-20.0,889,38.286126
-21.0,845,39.265658
-21.0,943,39.716012
-21.0,765,39.854775
-20.0,1035,40.191653
-19.0,1115,40.531492
-21.0,853,40.716768
-21.0,855,41.527047
-20.0,890,42.799615
-20.0,931,44.882014
-21.0,854,51.766702
-21.0,825,54.768576
-21.0,855,55.132888
-21.0,1002,55.275725
-21.0,973,55.607691
-21.0,811,56.866672
-18.0,1045,58.251081
-20.0,842,58.324154
-21.0,912,58.722011
-20.0,1050,58.764034
-21.0,811,58.985553
-20.0,991,59.09162
-20.0,964,59.147312
-20.0,1040,60.53804
-19.0,1066,61.553062
-21.0,963,64.145468
-20.0,960,71.028613
-20.0,961,74.070245
-21.0,765,74.095289
-19.0,974,74.895211
-19.0,982,74.918959
-21.0,793,75.092827
-21.0,975,75.266638
-21.0,873,76.756745
-21.0,887,76.906412
-21.0,974,77.915974
-21.0,888,78.422679
-19.0,994,78.80168
-19.0,1105,79.130638
-20.0,1071,79.872155
-21.0,945,80.515323
-19.0,938,82.889601
-20.0,843,90.586755
-21.0,885,91.424189
-21.0,855,91.577348
-21.0,856,91.75744
-21.0,1097,92.576344
-20.0,923,92.888654
-21.0,853,93.423869
-21.0,915,94.490378
-20.0,1009,94.882015
-21.0,793,95.206678
-20.0,870,95.632348
-21.0,946,96.235921
-20.0,920,96.930652
-21.0,975,97.317809
-20.0,842,99.210088
-21.0,976,99.411906
-21.0,765,108.228863
-21.0,915,108.314829
-21.0,872,108.48121
-21.0,827,108.903979
-21.0,854,109.119743
-21.0,765,109.31947
-21.0,765,110.027942
-21.0,945,110.085173
