#{"t_start": 1674922134.0819445, "env_id": null}
r,l,t
-21.0,765,26.326917
-21.0,765,26.327225
-21.0,765,26.3274
-21.0,795,26.814939
-20.0,842,27.523815
-20.0,842,27.524054
-21.0,862,27.824649
-20.0,866,27.891083
-21.0,887,28.208083
-21.0,943,29.045984
-20.0,963,29.34707
-21.0,971,29.471569
-20.0,978,29.58076
-20.0,979,29.602278
-19.0,1117,31.653266
-18.0,1258,33.732825
-21.0,881,39.634686
-20.0,902,39.951899
-21.0,885,40.155665
-20.0,842,40.599864
-21.0,974,41.066977
-20.0,900,41.118287
-20.0,930,42.235363
-20.0,902,42.652318
-20.0,927,43.321012
-21.0,1035,43.429935
-21.0,946,43.846853
-19.0,967,44.061928
-20.0,1141,44.726855
-21.0,931,45.698162
-18.0,1167,47.179143
-21.0,1006,48.940614
-21.0,825,52.514745
-20.0,842,52.966891
-21.0,883,53.077508
-20.0,961,55.154605
-21.0,825,55.176219
-19.0,933,55.259346
-21.0,975,55.85231
-20.0,838,56.197403
-20.0,949,56.722436
-21.0,853,57.145103
-21.0,975,58.252089
-20.0,964,60.409954
-20.0,898,60.890414
-21.0,825,61.564887
-21.0,1161,62.380357
-19.0,1243,62.726035
-21.0,765,64.493907
-19.0,945,67.434704
-19.0,994,67.642472
-21.0,825,67.784694
-21.0,821,68.475076
-21.0,882,68.752653
-21.0,825,69.698714
-21.0,913,70.170844
-21.0,887,70.267798
-19.0,1062,71.509199
-20.0,931,72.377846
-21.0,896,74.487759
-20.0,919,75.485438
-20.0,1024,75.902274
-21.0,765,76.141455
-21.0,892,76.25014
-19.0,1081,78.79168
-21.0,765,79.024577
-21.0,765,81.111199
-20.0,928,81.601008
-19.0,939,81.884865
-21.0,793,83.311241
-20.0,1015,83.858158
-21.0,941,84.263827
-21.0,1133,85.353105
-20.0,1041,85.664992
-21.0,917,86.024481
-21.0,854,87.248888
-20.0,842,88.179116
-21.0,855,89.076283
-19.0,996,91.262666
-21.0,853,91.604834
-19.0,1055,91.803519
-20.0,1029,94.403304
-21.0,871,94.93813
-20.0,899,95.076913
-19.0,981,95.801285
-20.0,930,97.787543
-21.0,765,98.702486
-21.0,974,98.841959
-19.0,1058,99.145753
-21.0,915,99.785663
-21.0,793,100.045829
-21.0,1024,100.860693
-20.0,1071,101.984439
-20.0,938,103.396049
-21.0,825,104.553711
-20.0,894,105.416262
-20.0,923,105.511082
-21.0,888,108.141503
-20.0,902,109.01335
-19.0,938,109.414397
-21.0,765,131.424746
-21.0,974,132.644076
-20.0,887,134.500675
-21.0,812,134.671765
-20.0,902,135.292006
-21.0,909,138.24936
-20.0,1101,138.249605
-19.0,1046,138.338665
-19.0,1028,139.100873
-20.0,962,141.807715
-20.0,1059,142.23851
-20.0,981,143.156365
-21.0,1020,143.705408
-21.0,827,144.542681
-21.0,831,145.386186
-21.0,825,146.514621
-20.0,1084,147.816229
-19.0,1166,150.60175
-21.0,969,150.874531
-21.0,945,151.063981
-20.0,1038,151.878165
-20.0,932,153.798477
-21.0,915,154.370776
-21.0,973,154.492597
-20.0,1007,155.142386
-21.0,853,155.963648
-21.0,887,158.401189
-20.0,949,158.880334
-20.0,898,159.422364
-19.0,1057,159.776322
-21.0,1005,162.043564
-20.0,898,162.704943
-19.0,1026,163.515852
-20.0,838,164.484101
-21.0,887,165.553961
-21.0,853,165.985879
-21.0,825,167.44021
-19.0,958,170.203771
-18.0,1165,170.320256
-20.0,931,170.52463
-20.0,932,171.426654
-21.0,821,172.085855
-19.0,1087,172.608669
-21.0,827,172.717975
-20.0,950,175.472484
-19.0,1010,176.90374
-21.0,919,177.731359
-20.0,842,177.95378
-21.0,1030,180.341733
-20.0,1008,181.776668
-21.0,887,182.753524
-21.0,811,184.361183
-19.0,1161,185.366104
-20.0,885,185.786207
-20.0,920,186.057053
-19.0,1179,186.10782
-20.0,887,187.873077
-21.0,948,188.298445
-21.0,783,188.719813
-18.0,1012,188.756055
-21.0,965,189.077381
-21.0,765,189.773684
-21.0,874,192.558925
-20.0,838,194.256454
-21.0,825,196.420514
-20.0,1130,196.57155
-19.0,1057,199.260463
-20.0,872,200.497819
-20.0,947,201.809576
-21.0,825,201.982242
-21.0,873,202.34542
-21.0,1025,202.387438
-20.0,842,202.689628
-21.0,821,202.689909
-18.0,1033,202.950018
-18.0,1119,202.950273
-21.0,904,203.769206
-21.0,941,205.387966
-21.0,843,206.52549
-21.0,841,208.176029
-21.0,765,209.250901
-21.0,899,211.326413
-21.0,793,213.761376
-20.0,982,215.68767
-21.0,854,216.086732
-21.0,811,216.240852
-21.0,825,216.471488
-21.0,871,216.939842
-20.0,903,217.077728
-21.0,916,217.66075
-21.0,915,218.228952
-21.0,883,218.513463
-21.0,976,219.249461
-20.0,947,221.207699
-21.0,783,221.315282
-21.0,941,222.252419
-21.0,765,224.142744
-20.0,930,224.806106
-21.0,827,227.496096
-21.0,765,228.369856
-21.0,793,230.210587
-21.0,853,230.608743
-21.0,881,230.846233
-21.0,825,231.886276
-21.0,821,232.105788
-20.0,931,233.08037
-21.0,1033,233.218103
-21.0,872,233.684634
-18.0,1024,233.922722
-21.0,799,234.442028
-21.0,794,235.404177
-21.0,793,237.281485
-19.0,1037,238.483164
-21.0,887,239.525718
-20.0,872,241.989236
-21.0,913,243.540406
-21.0,765,243.561741
-21.0,793,243.803823
-21.0,853,244.40632
-21.0,793,245.291954
-21.0,783,246.24042
-21.0,870,246.356576
-21.0,883,248.612891
-20.0,888,249.212282
-20.0,842,249.414224
-20.0,991,249.591274
-20.0,959,249.662775
-20.0,916,253.76658
-20.0,1052,254.823761
-21.0,928,254.998349
-20.0,842,256.022953
-21.0,821,257.228578
-20.0,899,258.762184
-21.0,925,258.969793
-21.0,840,259.287
-20.0,988,260.853688
-21.0,911,261.535073
-21.0,855,263.804767
-19.0,1087,264.343761
-20.0,938,265.024688
-19.0,965,265.702918
-20.0,1004,265.920388
-18.0,1137,267.53539
-21.0,885,269.541238
-21.0,972,269.92685
-20.0,959,272.058434
-21.0,931,272.809927
-21.0,827,272.830969
-20.0,1084,273.122264
-21.0,843,274.988696
-21.0,941,275.063474
-20.0,991,275.373105
-20.0,899,276.604347
-21.0,825,278.84115
-21.0,941,279.554356
-21.0,765,280.351744
-21.0,971,280.588252
-21.0,783,282.661154
-20.0,1069,283.596347
-19.0,1117,284.606679
-21.0,765,284.796119
-21.0,765,285.843645
-21.0,825,286.55802
-21.0,886,287.560514
-21.0,765,287.711769
-19.0,1071,287.8503
-21.0,903,290.400596
-20.0,932,290.585118
-20.0,981,292.932799
-20.0,870,293.355957
-20.0,903,295.660141
-20.0,993,296.129189
-20.0,899,297.649327
-21.0,917,300.0626
-20.0,947,300.381799
-20.0,887,300.63219
-21.0,855,300.821144
-20.0,1100,301.945257
-21.0,887,302.65721
-20.0,933,303.286372
-21.0,946,303.361269
-16.0,1392,303.606791
-20.0,960,306.428299
-21.0,825,307.140646
-20.0,1012,307.474904
-20.0,916,308.23761
-21.0,793,309.376022
-21.0,853,311.920358
-21.0,765,312.887125
-20.0,1079,313.691097
-21.0,852,314.883615
-21.0,899,315.437593
-21.0,853,316.194235
-21.0,976,317.124869
-21.0,859,317.921263
-21.0,884,318.110881
-21.0,911,318.495538
-21.0,765,320.235601
-21.0,825,320.906723
-21.0,886,321.227331
-21.0,823,321.982897
-18.0,1216,322.965297
-20.0,1020,326.361188
-21.0,855,327.901337
-19.0,979,328.210883
-20.0,961,328.878779
-21.0,886,330.179698
-21.0,793,331.321875
-21.0,929,331.679746
-19.0,1025,331.965098
-21.0,855,332.192687
-21.0,813,333.793736
-19.0,990,335.014301
-21.0,881,335.612475
-19.0,1109,335.654762
-21.0,765,335.74087
-21.0,875,335.84286
-21.0,765,339.183644
-18.0,1152,341.219964
-21.0,825,341.739807
-20.0,904,344.093475
-19.0,977,344.663892
-21.0,886,345.140369
-21.0,825,345.264439
-21.0,825,345.615318
-21.0,869,346.863331
-21.0,906,347.272919
-21.0,825,347.748584
-21.0,795,349.097286
-21.0,885,349.990691
-20.0,900,350.841359
-20.0,931,351.493523
-21.0,872,353.951019
-21.0,843,355.512094
-21.0,871,356.492563
-18.0,1232,356.632612
-20.0,842,358.863304
-21.0,827,359.18645
-21.0,855,359.553862
-20.0,930,359.806043
-21.0,855,360.031561
-21.0,765,360.170379
-21.0,821,360.734427
-21.0,811,362.765448
-21.0,825,363.906289
-20.0,991,364.458851
-21.0,823,364.715675
-20.0,842,365.666408
-21.0,821,369.395482
-21.0,933,369.721712
-21.0,885,371.515341
-21.0,885,371.653705
-21.0,821,373.748387
-20.0,871,373.986868
