#{"t_start": 1674727166.545253, "env_id": null}
r,l,t
-21.0,765,12.368557
-21.0,765,12.368813
-21.0,765,12.368952
-21.0,783,12.955785
-21.0,853,13.64254
-21.0,853,13.642782
-21.0,853,13.64295
-20.0,905,14.54723
-20.0,838,23.172941
-20.0,871,23.495444
-21.0,852,24.554213
-21.0,867,24.703463
-19.0,984,25.156591
-19.0,1014,25.277202
-21.0,913,26.05438
-20.0,1186,28.498353
-20.0,920,34.742744
-20.0,871,35.667259
-20.0,1006,36.318525
-20.0,902,36.706457
-19.0,972,37.220735
-20.0,898,37.45759
-20.0,1044,38.391572
-20.0,870,39.759979
-20.0,870,45.775809
-21.0,843,46.030769
-20.0,928,47.892663
-20.0,902,48.535094
-20.0,926,48.997589
-21.0,853,49.212485
-19.0,1019,49.581454
-20.0,838,50.430214
-21.0,821,56.701318
-20.0,1042,58.979662
-21.0,827,59.310054
-21.0,783,59.844771
-20.0,945,60.155065
-19.0,950,60.438204
-20.0,961,61.617344
-20.0,934,62.157644
-21.0,815,66.911304
-21.0,783,69.603521
-21.0,853,69.953167
-20.0,842,70.616323
-20.0,1011,73.303822
-19.0,1115,73.719658
-21.0,969,74.617048
-19.0,1135,75.668012
-21.0,827,79.919129
-19.0,1033,80.013412
-21.0,821,80.224264
-20.0,900,82.068618
-21.0,887,84.633506
-20.0,890,85.971588
-21.0,811,86.275694
-21.0,1071,87.629264
-20.0,838,90.930659
-20.0,1020,92.908036
-20.0,1020,93.2015
-20.0,945,94.306106
-21.0,845,96.564572
-21.0,783,97.631819
-18.0,1076,98.280397
-20.0,1022,99.435571
-21.0,839,101.556004
-21.0,765,102.922771
-20.0,928,106.348386
-20.0,1022,106.557002
-21.0,825,108.318451
-20.0,964,109.543947
-21.0,849,109.747739
-20.0,842,110.498691
-20.0,889,114.819206
-20.0,1110,116.40693
-21.0,811,117.657149
-21.0,974,119.445793
-21.0,827,120.317649
-20.0,872,120.985236
-21.0,1007,121.595072
-21.0,853,121.639484
-20.0,959,128.48157
-20.0,890,128.66923
-20.0,1170,129.759868
-20.0,890,130.845128
-21.0,840,131.49363
-21.0,793,131.690372
-19.0,1029,133.459536
-20.0,1019,134.62928
-21.0,793,139.12123
-20.0,890,139.88282
-21.0,793,140.900537
-21.0,783,141.45251
-19.0,976,142.399014
-20.0,871,142.913221
-20.0,838,145.531992
-20.0,923,145.586623
-21.0,853,149.722071
-21.0,845,150.738436
-21.0,853,151.421973
-20.0,838,152.241898
-20.0,838,153.695859
-20.0,921,153.9916
-20.0,896,156.929411
-20.0,904,157.063743
-21.0,793,162.015166
-20.0,898,162.348102
-18.0,990,162.555655
-19.0,991,165.165403
-20.0,939,165.706123
-20.0,970,166.299373
-21.0,840,167.571791
-20.0,964,169.346072
-21.0,827,172.538004
-20.0,838,172.976642
-20.0,870,173.907916
-21.0,886,176.26569
-21.0,961,177.960047
-19.0,978,179.133354
-20.0,981,180.465554
-21.0,1125,184.153926
-20.0,940,185.638748
-18.0,1018,186.005164
-20.0,991,187.107866
-21.0,881,187.993271
-21.0,765,189.314718
-21.0,887,189.758464
-21.0,825,191.195297
-21.0,863,195.496035
-21.0,853,196.42544
-21.0,853,197.170715
-21.0,783,198.147371
-20.0,923,199.076413
-20.0,842,200.491467
-21.0,821,200.721185
-21.0,853,202.494917
-19.0,1086,209.446816
-20.0,962,209.501961
-19.0,1009,209.643112
-21.0,826,210.958756
-20.0,1134,212.865579
-20.0,1042,214.077784
-21.0,913,214.175406
-20.0,1269,215.492625
-21.0,887,221.04211
-20.0,889,221.249942
-20.0,921,221.428021
-21.0,853,224.101944
-21.0,783,224.233212
-21.0,783,225.607083
-18.0,1225,226.980832
-19.0,1062,227.795474
-21.0,825,232.117571
-21.0,887,232.541915
-20.0,917,232.633591
-21.0,826,234.919236
-19.0,1041,237.257844
-20.0,842,237.42708
-19.0,1043,238.775812
-21.0,1084,241.805515
-21.0,783,242.088685
-21.0,872,243.844431
-19.0,944,244.844825
-21.0,886,245.879751
-21.0,783,247.234299
-21.0,825,248.233763
-20.0,1101,253.075276
-21.0,885,253.454333
-21.0,942,253.746668
-21.0,783,253.849149
-21.0,825,258.017106
-19.0,1159,259.63773
-20.0,1085,259.967884
-18.0,1194,263.313697
-21.0,945,265.971807
-20.0,1020,266.036005
-20.0,1015,266.367365
-21.0,991,266.526695
-21.0,765,269.364321
-21.0,765,269.694248
-20.0,980,270.214025
-21.0,765,273.046423
-21.0,827,276.305553
-20.0,896,277.903795
-19.0,999,278.41612
-20.0,1026,279.409176
-21.0,839,279.815306
-21.0,928,281.386651
-21.0,973,282.735037
-20.0,898,284.457371
-21.0,825,286.615718
-18.0,1059,292.154644
-19.0,1131,292.342187
-20.0,867,292.491925
-17.0,1134,293.870023
-19.0,1216,295.458581
-19.0,1029,295.799051
-21.0,913,296.015346
-18.0,1189,301.997026
-21.0,826,302.792306
-19.0,937,304.108959
-21.0,1065,305.551305
-20.0,960,305.853659
-21.0,916,307.023473
-19.0,995,308.514445
-18.0,1034,309.106587
-21.0,914,313.638091
-20.0,915,314.865642
-20.0,1083,318.16023
-20.0,1088,319.267403
-20.0,991,319.807943
-20.0,932,320.918921
-18.0,1360,323.407415
-18.0,1304,325.123658
-21.0,914,325.235531
-20.0,917,326.468438
-21.0,853,328.773357
-21.0,887,330.741621
-20.0,951,331.680643
-20.0,838,331.866311
-20.0,838,336.061284
-21.0,1005,336.243972
-20.0,887,336.442719
-19.0,933,338.245316
-21.0,931,340.974124
-21.0,989,344.319614
-20.0,1186,346.168373
-20.0,842,346.610096
-19.0,1179,346.759908
-20.0,842,346.989765
-21.0,1009,349.238392
-21.0,855,349.353704
-20.0,960,353.184942
-21.0,825,354.896018
-21.0,823,357.566951
-21.0,875,357.641818
-20.0,838,357.870161
-21.0,821,357.935202
-20.0,842,360.068328
-20.0,903,360.984691
-21.0,824,363.654658
-20.0,843,366.059485
-21.0,826,368.336996
-21.0,811,368.482086
-21.0,825,368.572195
-20.0,870,371.667096
-18.0,1167,372.896686
-21.0,946,373.327235
-19.0,984,376.835027
-21.0,794,378.883181
-19.0,1048,379.812555
-21.0,889,380.020254
-21.0,844,382.841666
-19.0,1010,386.064698
-18.0,1062,386.994676
-15.0,1432,387.058603
-20.0,931,388.795922
-21.0,822,390.266656
-21.0,933,391.247029
-21.0,1009,393.088416
-19.0,976,395.175751
-21.0,795,396.25039
-21.0,794,397.581321
-21.0,823,397.931488
-20.0,921,401.001027
-21.0,825,401.130816
-21.0,1025,404.428017
-21.0,825,406.012552
-20.0,1021,406.243171
